catalog,key,comment,translation
app,csv.header.dateTime,,date and time
app,csv.header.deleted,,deleted 1/0
app,csv.header.type,,type
app,error.syncFailed,,Sync failed: %@
app,even,,even
app,feedback.deleted,,‘%@’ deleted
app,feedback.movedTo,,‘%1$@’ moved to %2$@
app,feedback.movedToFinished,,‘%@’ was moved to Finished
app,feedback.permanentlyDeleted,,‘%@’ permanently deleted
app,feedback.restored,,‘%@’ restored
app,history.loadOlder,,Load older items (%lld)
app,history.noCompletedFilter,,No completed %@ items
app,history.restoreTo,,Restore to %@
app,holiday.all-saints,,All Saints’ Day
app,holiday.amazigh-new-year,,Amazigh New Year
app,holiday.armistice,,Armistice Day
app,holiday.ascension,,Ascension Day
app,holiday.assumption,,Assumption of Mary
app,holiday.bastille-day,,Bastille Day
app,holiday.boxing-day,,Boxing Day
app,holiday.children-day,,Children’s Day
app,holiday.christmas,,Christmas Day
app,holiday.columbus-day,,Columbus Day
app,holiday.democracy-day,,Democracy and National Unity Day
app,holiday.early-may,,Early May Bank Holiday
app,holiday.easter-monday,,Easter Monday
app,holiday.easter-sunday,,Easter Sunday
app,holiday.eid-al-adha,,Feast of Sacrifice (Eid al-Adha)
app,holiday.eid-al-fitr,,Feast of Breaking the Fast (Eid al-Fitr)
app,holiday.fathers-day,,Father’s Day
app,holiday.flemish-community,,Day of the Flemish Community
app,holiday.french-community,,Day of the French Community
app,holiday.german-community,,Day of the German-speaking Community
app,holiday.good-friday,,Good Friday
app,holiday.green-march,,Green March
app,holiday.independence-day,,Independence Day
app,holiday.independence-manifesto,,Proclamation of Independence
app,holiday.indigenous-day,,Indigenous Peoples’ Day
app,holiday.islamic-new-year,,Islamic New Year
app,holiday.juneteenth,,Juneteenth
app,holiday.keti-koti,,Keti Koti
app,holiday.kings-day,,King’s Day
app,holiday.labor-day,,Labor Day
app,holiday.labour-day,,Labor Day
app,holiday.labour-solidarity-day,,Labour and Solidarity Day
app,holiday.liberation-day,,Liberation Day
app,holiday.maroons-day,,Day of the Maroons
app,holiday.mawlid,,Prophet’s Birthday (Mawlid)
app,holiday.memorial-day,,Memorial Day
app,holiday.mlk-day,,Martin Luther King Jr. Day
app,holiday.morocco-independence,,Independence Day
app,holiday.mothers-day,,Mother’s Day
app,holiday.national-day,,National Day
app,holiday.new-year,,New Year’s Day
app,holiday.oued-eddahab-day,,Recovery of Oued Eddahab
app,holiday.presidents-day,,Presidents’ Day
app,holiday.prinsjesdag,,Prince’s Day
app,holiday.ramadan-start,,Start of Ramadan
app,holiday.remembrance-day,,Remembrance of the Dead
app,holiday.republic-day,,Republic Day
app,holiday.revolution-day-ma,,Revolution of the King and the People
app,holiday.sinterklaas,,Saint Nicholas
app,holiday.spring-bank,,Spring Bank Holiday
app,holiday.summer-bank,,Summer Bank Holiday
app,holiday.suriname-independence,,Independence Day
app,holiday.thanksgiving,,Thanksgiving
app,holiday.throne-day,,Throne Day
app,holiday.unity-day,,German Unity Day
app,holiday.unity-day-ma,,Unity Day
app,holiday.veterans-day,,Veterans Day
app,holiday.victory-day,,Victory Day
app,holiday.victory-day-tr,,Victory Day
app,holiday.whit-monday,,Whit Monday
app,holiday.whit-sunday,,Whit Sunday
app,holiday.youth-day,,Youth and Sports Day
app,holiday.youth-day-ma,,Youth Day
app,iCloud,,iCloud
app,iCloud is beperkt op dit apparaat,,iCloud is restricted on this device
app,iCloud is tijdelijk niet beschikbaar,,iCloud is temporarily unavailable
app,iCloud moet op dit apparaat zijn ingeschakeld. Zonder iCloud blijven gegevens alleen op dit apparaat beschikbaar.,,"iCloud must be enabled on this device. Without iCloud, data remains available only on this device."
app,iCloud-instelling niet gewijzigd: %@,,iCloud setting was not changed: %@
app,iCloud-status kon niet worden bepaald,,iCloud status could not be determined
app,iCloud-synchronisatie,,iCloud Sync
app,kalender vandaag,,calendar today
app,language.system,,System
app,lockscreen.widget.instructions,,"The Lock Screen widget is available on iPhone 11 and newer models and on iPhone SE (2nd generation) and newer. Touch and hold the Lock Screen, then tap Customize › Lock Screen › Add Widgets. Then select the %@ widget."
app,notification.title,,Forget It
app,notifications.permission.settings,,Allow notifications for ‘%@’ in iOS Settings.
app,onboarding.agenda.example.dinner,,6PM dinner
app,onboarding.agenda.example.sports,,4PM sports
app,onboarding.history.emailAccent,,email
app,onboarding.history.example,,This is an example
app,onboarding.history.searchInstruction,,Use the search bar to show only completed items that match your search term. Try searching for ‘example’ now.
app,onboarding.history.searchTerm,,example
app,oneven,,odd
app,ordinal.first,,first
app,ordinal.fourth,,fourth
app,ordinal.last,,last
app,ordinal.second,,second
app,ordinal.third,,third
app,quick.addedTo,,Added to %@
app,recurrence.annuallyOn,,Annually on %@
app,recurrence.approximatelyEveryDays,,Approximately every %lld days
app,recurrence.approximatelyEveryMonths,,Approximately every %lld months
app,recurrence.approximatelyEveryWeeks,,Approximately every %lld weeks
app,recurrence.approximatelyEveryYears,,Approximately every %lld years
app,recurrence.everyDays,,Every %lld days
app,recurrence.everyMonthsOn,,Every %1$lld months on the %2$@
app,recurrence.everyParityWeekOn,,Every %1$@ week on %2$@
app,recurrence.everyWeeksOn,,Every %1$lld weeks on %2$@
app,recurrence.everyYearsOn,,Every %1$lld years on %2$@
app,recurrence.frequency.add,,Add frequency
app,recurrence.frequency.unrecognized,,Frequency not recognized yet
app,recurrence.monthlyOn,,Monthly on the %@
app,recurrence.ordinalWeekdayOfMonth,,%1$@ %2$@ of the month
app,recurrence.ordinalWeekdayOfNamedMonth,,%1$@ %2$@ of %3$@
app,recurrence.quarterlyOn,,Every quarter on the %@
app,recurrence.weeklyOn,,Weekly on %@
app,recurring.loading,,Loading recurring items…
app,recurring.rescheduling,,Rescheduling recurring items…
app,recurring.reschedulingFailed,,Rescheduling failed
app,recurring.retry,,Retry
app,recurring.subtitle.birthday.many,,%lld birthdays
app,recurring.subtitle.birthday.one,,%lld birthday
app,recurring.subtitle.custom.many,,%lld custom
app,recurring.subtitle.custom.one,,%lld custom
app,recurring.subtitle.holiday.many,,%lld holidays
app,recurring.subtitle.holiday.one,,%lld holiday
app,recurring.subtitle.recurrence.many,,%lld recurrences
app,recurring.subtitle.recurrence.one,,%lld recurrence
app,recurring.subtitle.reminder.many,,%lld reminders
app,recurring.subtitle.reminder.one,,%lld reminder
app,section.calendar,,Calendar
app,section.finished,,Finished
app,section.recurring,,Recurring
app,section.todo,,To-do
app,settings.language,,Language
app,settings.testAgainInSeconds,,Test again in %lld sec.
app,settings.weekdayFormatting,,Weekday formatting
app,speech.error.microphone,,No access to the microphone.
app,speech.error.permission,,No permission for speech recognition.
app,speech.error.startFailed,,Speech recording could not start.
app,speech.error.unavailable,,Speech recognition is currently unavailable.
app,speech.stopWord,,done
app,todo.age.createdToday,,Created today
app,todo.age.daysOpen,,Open for %lld days
app,todo.age.daysShort,,%lldd
app,todo.age.monthsShort,,%lldm
app,todo.age.now,,now
app,todo.age.weeksShort,,%lldw
app,todo.movedToDate,,‘%1$@’ moved to %2$@
app,tutorial.highlight.yellowWord,,yellow
app,tutorial.step,,Step %1$lld/%2$lld
app,typ iets,,Type something
app,unit.day.one,,day
app,unit.day.other,,days
app,unit.month.one,,month
app,unit.month.other,,months
app,unit.week.one,,week
app,unit.week.other,,weeks
app,unit.year.one,,year
app,unit.year.other,,years
app,weather.location.explanation,,Choose how %@ determines the place for your weather forecast.
app,widget.preview.calendar.blindDate,,18:00 Blind date
app,widget.preview.calendar.bungeeJumping,,14:30 Bungee jumping
app,widget.preview.calendar.dinnerWithFriends,,19:30 Dinner with friends
app,widget.preview.calendar.gymSession,,16:00 Gym session
app,widget.preview.calendar.jobInterview,,10:00 Job interview
app,widget.preview.calendar.justinBieber,,16:30 Hang out with Justin Bieber
app,widget.preview.calendar.karaokeBattle,,21:00 Karaoke battle
app,widget.preview.calendar.pizzaTasting,,17:00 Pizza tasting
app,widget.preview.calendar.rooftopParty,,22:00 Secret rooftop party
app,widget.preview.calendar.tattooAppointment,,15:30 Tattoo appointment
app,widget.preview.task.annualShower,,Take my annual shower
app,widget.preview.task.cleanHouse,,Clean the house
app,widget.preview.task.deleteSocialMedia,,Delete all social media apps from my phone
app,widget.preview.task.finishPlaylist,,Finish the playlist
app,widget.preview.task.newHobby,,Find a new hobby
app,widget.preview.task.newRecipe,,Try a new recipe
app,widget.preview.task.planRoadTrip,,Plan the road trip
app,widget.preview.task.printPhotos,,Print photos at the store
app,widget.preview.task.replyFanMail,,Reply to fan mail
app,widget.preview.task.sellClothes,,Sell old clothes online
app,zodiac.aquarius,,Aquarius
app,zodiac.aries,,Aries
app,zodiac.cancer,,Cancer
app,zodiac.capricorn,,Capricorn
app,zodiac.gemini,,Gemini
app,zodiac.leo,,Leo
app,zodiac.libra,,Libra
app,zodiac.pisces,,Pisces
app,zodiac.sagittarius,,Sagittarius
app,zodiac.scorpio,,Scorpio
app,zodiac.taurus,,Taurus
app,zodiac.virgo,,Virgo
app,°,,°
app,·,,·
app,· reminder %lld,,· reminder %lld
app,‘%@’ definitief verwijderd,,‘%@’ permanently deleted
app,‘%@’ teruggezet,,‘%@’ restored
app,‘%@’ verwijderd,,‘%@’ deleted
app,↓,,↓
widget,%lld,,%lld
widget,%lldd,,%lldd
widget,1,,1
widget,Geen open taken,,No open tasks
widget,Geen open taken ✓,,No open tasks ✓
widget,Kalender,,Calendar
widget,Lege agenda ✓,,Clean calendar ✓
widget,Taken,,Tasks
widget,widget.gallery.description,,Automatically shows the next upcoming items from your calendar.
widget,widget.gallery.name,,Upcoming calendar items
widget,widget.noUpcomingItems,,No upcoming items
