instructie,en,nl,af,sq,am,ar,hy,as,az,eu,bn,my,bs,bg,ca,zh,da,de,et,fo,fi,fr,gl,ka,el,gu,he,hi,hu,ga,is,id,it,ja,kn,kk,km,ko,hr,lo,lv,lt,mk,ms,ml,mr,mn,ne,no,uk,or,ug,uz,fa,pl,pt,pa,ro,ru,sr,si,sk,sl,es,sw,ta,te,th,bo,cs,tr,ur,vi,cy,be,zu,sv,catalog,key,variation
"Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %@ (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 20 tekens (UI-ruimte).","%@, move task","%@, taak verplaatsen","%@, skuif taak","%@, zhvendos detyrën","%@, ተግባር አንቀሳቅስ",%@، نقل المهمة,"%@, տեղափոխել առաջադրանքը","%@, কাম স্থানান্তৰ কৰক","%@, tapşırığı köçür","%@, mugitu zeregina","%@, টাস্ক সরান",%@၊ လုပ်ဆောင်စရာ ရွှေ့ရန်,"%@, premjesti zadatak","%@, преместване на задача","%@, mou la tasca",%@，移动任务,"%@, flyt opgave","%@, Aufgabe verschieben","%@, teisalda ülesanne","%@, flyt uppgávu","%@, siirrä tehtävä","%@, déplacer la tâche","%@, mover tarefa","%@, დავალების გადატანა","%@, μετακίνηση εργασίας","%@, કાર્ય ખસેડો","%@, העברת משימה","%@, कार्य खिसकाएँ","%@, feladat áthelyezése","%@, bog tasc","%@, færa verkefni","%@, pindahkan tugas","%@, sposta attività",%@、タスクを移動,"%@, ಕಾರ್ಯ ಸ್ಥಳಾಂತರಿಸಿ","%@, тапсырманы жылжыту","%@, ផ្លាស់ទីកិច្ចការ","%@, 작업 이동","%@, premjesti zadatak","%@, ຍ້າຍໜ້າວຽກ","%@, pārvietot uzdevumu","%@, perkelti užduotį","%@, премести задача","%@, alihkan tugas","%@, ടാസ്‌ക് മാറ്റുക","%@, कार्य हलवा","%@, даалгавар зөөх","%@, कार्य सार्नुहोस्","%@, flytt oppgave","%@, перемістити завдання","%@, କାମ ସରାନ୍ତୁ",%@، ۋەزىپىنى يۆتكەش,"%@, vazifani ko‘chirish",%@، انتقال کار,"%@, przenieś zadanie","%@, mover tarefa","%@, ਕੰਮ ਖਿਸਕਾਓ","%@, mută sarcina","%@, переместить задачу","%@, premesti zadatak","%@, කාර්යය ගෙන යන්න","%@, presunúť úlohu","%@, premakni opravilo","%@, mover tarea","%@, hamisha kazi","%@, பணியை நகர்த்து","%@, పనిని తరలించండి","%@, ย้ายงาน","%@, ལས་འགན་སྤོར","%@, přesunout úkol","%@, görevi taşı",%@، کام منتقل کریں,"%@, di chuyển tác vụ","%@, symud tasg","%@, перамясціць задачу","%@, hambisa umsebenzi","%@, flytta uppgift",app,"%@, taak verplaatsen",
"Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 4 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).",%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,%lld,app,%lld,
"Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 14 tekens (UI-ruimte).",%lld completed,%lld afgerond,%lld voltooi,%lld të përfunduara,%lld ተጠናቋል,%lld مكتمل,%lld ավարտված,%lld সম্পূৰ্ণ,%lld tamamlandı,%lld osatuta,%lldটি সম্পন্ন,%lld ခု ပြီးစီး,%lld završeno,%lld завършени,%lld completats,已完成 %lld 项,%lld fuldført,%lld erledigt,%lld lõpetatud,%lld liðug,%lld valmista,%lld terminés,%lld completados,%lld დასრულებული,%lld ολοκληρωμένα,%lld પૂર્ણ,%lld הושלמו,%lld पूरे,%lld kész,%lld críochnaithe,%lld lokið,%lld selesai,%lld completati,%lld件完了,%lld ಪೂರ್ಣಗೊಂಡಿವೆ,%lld орындалды,បានបញ្ចប់ %lld,%lld개 완료,%lld dovršeno,ສຳເລັດ %lld,%lld pabeigti,%lld atlikta,%lld завршени,%lld selesai,%lld പൂർത്തിയായി,%lld पूर्ण,%lld дууссан,%lld सम्पन्न,%lld fullført,%lld виконано,%lldଟି ସମ୍ପୂର୍ଣ୍ଣ,%lld تاماملاندى,%lld ta bajarildi,%lld انجام‌شده,Ukończono: %lld,%lld concluídos,%lld ਪੂਰੇ,%lld finalizate,%lld выполнено,%lld završeno,%lld සම්පූර්ණයි,%lld dokončených,%lld dokončanih,%lld completados,%lld zimekamilika,%lld முடிந்தது,%lld పూర్తయ్యాయి,เสร็จแล้ว %lld,%lld ལེགས་གྲུབ,%lld dokončeno,%lld tamamlandı,%lld مکمل,Đã hoàn thành %lld,%lld wedi cwblhau,%lld выканана,Kuqedwe okungu-%lld,%lld slutförda,app,%lld afgerond,
"Meervoudsvorm 'one' (one=enkelvoud, other=meervoud). Gebruik de telregels van de doeltaal. Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 8 tekens (UI-ruimte).",%lld day,%lld dag,%lld dag,%lld ditë,%lld ቀን,%lld يوم,%lld օր,%lld দিন,%lld gün,%lld egun,%lld দিন,%lld ရက်,%lld dan,%lld ден,%lld dia,%lld 天,%lld dag,%lld Tag,%lld päev,%lld dagur,%lld päivä,%lld jour,%lld día,%lld დღე,%lld ημέρα,%lld દિવસ,%lld יום,%lld दिन,%lld nap,%lld lá,%lld dagur,%lld hari,%lld giorno,%lld日,%lld ದಿನ,%lld күн,%lld ថ្ងៃ,%lld일,%lld dan,%lld ມື້,%lld diena,%lld diena,%lld ден,%lld hari,%lld ദിവസം,%lld दिवस,%lld өдөр,%lld दिन,%lld dag,%lld день,%lld ଦିନ,%lld كۈن,%lld kun,%lld روز,%lld dzień,%lld dia,%lld ਦਿਨ,%lld zi,%lld день,%lld dan,%lld දින,%lld deň,%lld dan,%lld día,siku %lld,%lld நாள்,%lld రోజు,%lld วัน,ཉིན་ %lld,%lld den,%lld gün,%lld دن,%lld ngày,%lld diwrnod,%lld дзень,usuku olungu-%lld,%lld dag,app,%lld dagen,plural.one
"Meervoudsvorm 'other' (one=enkelvoud, other=meervoud). Gebruik de telregels van de doeltaal. Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 10 tekens (UI-ruimte).",%lld days,%lld dagen,%lld dae,%lld ditë,%lld ቀናት,%lld أيام,%lld օր,%lld দিন,%lld gün,%lld egun,%lld দিন,%lld ရက်,%lld dana,%lld дни,%lld dies,%lld 天,%lld dage,%lld Tage,%lld päeva,%lld dagar,%lld päivää,%lld jours,%lld días,%lld დღე,%lld ημέρες,%lld દિવસ,%lld ימים,%lld दिन,%lld nap,%lld lá,%lld dagar,%lld hari,%lld giorni,%lld日,%lld ದಿನಗಳು,%lld күн,%lld ថ្ងៃ,%lld일,%lld dana,%lld ມື້,%lld dienas,%lld dienų,%lld дена,%lld hari,%lld ദിവസം,%lld दिवस,%lld өдөр,%lld दिन,%lld dager,%lld днів,%lld ଦିନ,%lld كۈن,%lld kun,%lld روز,%lld dni,%lld dias,%lld ਦਿਨ,%lld zile,%lld дней,%lld dana,%lld දින,%lld dní,%lld dni,%lld días,siku %lld,%lld நாட்கள்,%lld రోజులు,%lld วัน,ཉིན་ %lld,%lld dní,%lld gün,%lld دن,%lld ngày,%lld diwrnod,%lld дзён,izinsuku ezingu-%lld,%lld dagar,app,%lld dagen,plural.other
"Meervoudsvorm 'one' (one=enkelvoud, other=meervoud). Gebruik de telregels van de doeltaal. Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 13 tekens (UI-ruimte).",%lld day open,%lld dag open,%lld dag oop,%lld ditë e hapur,%lld ቀን ክፍት,مفتوح منذ %lld يوم,%lld օր բաց,%lld দিন খোলা,%lld gündür açıqdır,%lld egun irekita,%lld দিন খোলা,%lld ရက် ဖွင့်ထား,%lld dan otvoren,%lld ден отворена,%lld dia oberta,已打开 %lld 天,%lld dag åben,%lld Tag offen,%lld päev avatud,%lld dag opin,%lld päivän avoinna,%lld jour ouvert,%lld día aberta,%lld დღე ღიაა,%lld ημέρα σε εκκρεμότητα,%lld દિવસથી ખુલ્લું,%lld יום פתוח,%lld दिन से खुला,%lld napja nyitott,%lld lá ar oscailt,%lld dag opið,%lld hari terbuka,%lld giorno aperto,%lld日未完了,%lld ದಿನದಿಂದ ತೆರೆದಿದೆ,%lld күн ашық,បើក %lld ថ្ងៃ,%lld일째 진행 중,%lld dan otvoreno,ເປີດ %lld ມື້,%lld dienu atvērts,%lld diena neatlikta,%lld ден отворено,%lld hari terbuka,%lld ദിവസം തുറന്നിരിക്കുന്നു,%lld दिवस प्रलंबित,%lld өдөр нээлттэй,%lld दिनदेखि खुला,%lld dag åpen,%lld день відкрито,%lld ଦିନ ଖୋଲା,%lld كۈن ئېچىلدى,%lld kun ochiq,%lld روز باز,Otwarte %lld dzień,%lld dia em aberto,%lld ਦਿਨ ਤੋਂ ਖੁੱਲ੍ਹਾ,%lld zi deschisă,%lld день открыто,%lld dan otvoreno,%lld දිනක් විවෘතයි,%lld deň otvorené,odprto %lld dan,%lld día abierta,imefunguliwa siku %lld,%lld நாள் திறந்துள்ளது,%lld రోజు నుంచి తెరిచి ఉంది,เปิดมา %lld วัน,ཉིན་ %lld ནས་སྒོ་ཕྱེ,%lld den otevřeno,%lld gündür açık,%lld دن سے کھلا,Mở %lld ngày,%lld diwrnod ar agor,%lld дзень адкрыта,kuvulwe usuku olungu-%lld,%lld dag öppen,app,%lld dagen open,plural.one
"Meervoudsvorm 'other' (one=enkelvoud, other=meervoud). Gebruik de telregels van de doeltaal. Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 15 tekens (UI-ruimte).",%lld days open,%lld dagen open,%lld dae oop,%lld ditë të hapura,%lld ቀናት ክፍት,مفتوح منذ %lld أيام,%lld օր բաց,%lld দিন খোলা,%lld gündür açıqdır,%lld egun irekita,%lld দিন খোলা,%lld ရက် ဖွင့်ထား,%lld dana otvoreno,%lld дни отворена,%lld dies oberta,已打开 %lld 天,%lld dage åben,%lld Tage offen,%lld päeva avatud,%lld dagar opnar,%lld päivää avoinna,%lld jours ouverts,%lld días aberta,%lld დღე ღიაა,%lld ημέρες σε εκκρεμότητα,%lld દિવસથી ખુલ્લાં,%lld ימים פתוחים,%lld दिनों से खुला,%lld napja nyitott,%lld lá ar oscailt,%lld dagar opið,%lld hari terbuka,%lld giorni aperti,%lld日未完了,%lld ದಿನಗಳಿಂದ ತೆರೆದಿದೆ,%lld күн ашық,បើក %lld ថ្ងៃ,%lld일째 진행 중,%lld dana otvoreno,ເປີດ %lld ມື້,%lld dienas atvērti,%lld dienų neatlikta,%lld дена отворено,%lld hari terbuka,%lld ദിവസം തുറന്നിരിക്കുന്നു,%lld दिवस प्रलंबित,%lld өдөр нээлттэй,%lld दिनदेखि खुला,%lld dager åpne,%lld днів відкрито,%lld ଦିନ ଖୋଲା,%lld كۈن ئېچىلدى,%lld kun ochiq,%lld روز باز,Otwarte %lld dni,%lld dias em aberto,%lld ਦਿਨਾਂ ਤੋਂ ਖੁੱਲ੍ਹਾ,%lld zile deschise,%lld дней открыто,%lld dana otvoreno,%lld දින විවෘතයි,%lld dní otvorené,odprto %lld dni,%lld días abiertas,zimefunguliwa siku %lld,%lld நாட்கள் திறந்துள்ளன,%lld రోజుల నుంచి తెరిచి ఉంది,เปิดมา %lld วัน,ཉིན་ %lld ནས་སྒོ་ཕྱེ,%lld dní otevřeno,%lld gündür açık,%lld دن سے کھلے,Mở %lld ngày,%lld diwrnod ar agor,%lld дзён адкрыта,kuvulwe izinsuku ezingu-%lld,%lld dagar öppna,app,%lld dagen open,plural.other
"Meervoudsvorm 'one' (one=enkelvoud, other=meervoud). Gebruik de telregels van de doeltaal. Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 19 tekens (UI-ruimte).",%lld day in advance,%lld dag vooraf,%lld dag vooraf,%lld ditë përpara,ከ%lld ቀን በፊት,قبل %lld يوم,%lld օր առաջ,%lld দিন আগতে,%lld gün əvvəl,%lld egun lehenago,%lld দিন আগে,%lld ရက် ကြိုတင်,%lld dan unaprijed,%lld ден предварително,%lld dia abans,提前 %lld 天,%lld dag i forvejen,%lld Tag im Voraus,%lld päev ette,%lld dag frammanundan,%lld päivä etukäteen,%lld jour à l’avance,%lld día de antelación,%lld დღით ადრე,%lld ημέρα νωρίτερα,%lld દિવસ અગાઉ,%lld יום מראש,%lld दिन पहले,%lld nappal előtte,%lld lá roimh ré,%lld dag fram í tímann,%lld hari sebelumnya,%lld giorno prima,%lld日前,%lld ದಿನ ಮುಂಚಿತವಾಗಿ,%lld күн бұрын,មុន %lld ថ្ងៃ,%lld일 전,%lld dan unaprijed,ລ່ວງໜ້າ %lld ມື້,%lld dienu iepriekš,prieš %lld dieną,%lld ден однапред,%lld hari lebih awal,%lld ദിവസം മുമ്പ്,%lld दिवस आधी,%lld өдрийн өмнө,%lld दिनअघि,%lld dag i forveien,за %lld день,%lld ଦିନ ପୂର୍ବରୁ,%lld كۈن بۇرۇن,%lld kun oldin,%lld روز زودتر,%lld dzień wcześniej,%lld dia antes,%lld ਦਿਨ ਪਹਿਲਾਂ,cu %lld zi înainte,за %lld день,%lld dan unapred,දින %lldකට පෙර,%lld deň vopred,%lld dan vnaprej,%lld día antes,siku %lld mapema,%lld நாள் முன்பாக,%lld రోజు ముందుగా,ล่วงหน้า %lld วัน,ཉིན་ %lld སྔོན,%lld den předem,%lld gün önceden,%lld دن پہلے,Trước %lld ngày,%lld diwrnod ymlaen llaw,за %lld дзень,kusasele usuku olungu-%lld,%lld dag i förväg,app,%lld dagen vooraf,plural.one
"Meervoudsvorm 'other' (one=enkelvoud, other=meervoud). Gebruik de telregels van de doeltaal. Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 20 tekens (UI-ruimte).",%lld days in advance,%lld dagen vooraf,%lld dae vooraf,%lld ditë përpara,ከ%lld ቀናት በፊት,قبل %lld أيام,%lld օր առաջ,%lld দিন আগতে,%lld gün əvvəl,%lld egun lehenago,%lld দিন আগে,%lld ရက် ကြိုတင်,%lld dana unaprijed,%lld дни предварително,%lld dies abans,提前 %lld 天,%lld dage i forvejen,%lld Tage im Voraus,%lld päeva ette,%lld dagar frammanundan,%lld päivää etukäteen,%lld jours à l’avance,%lld días de antelación,%lld დღით ადრე,%lld ημέρες νωρίτερα,%lld દિવસ અગાઉ,%lld ימים מראש,%lld दिन पहले,%lld nappal előtte,%lld lá roimh ré,%lld daga fram í tímann,%lld hari sebelumnya,%lld giorni prima,%lld日前,%lld ದಿನಗಳ ಮುಂಚಿತವಾಗಿ,%lld күн бұрын,មុន %lld ថ្ងៃ,%lld일 전,%lld dana unaprijed,ລ່ວງໜ້າ %lld ມື້,%lld dienas iepriekš,prieš %lld dienų,%lld дена однапред,%lld hari lebih awal,%lld ദിവസം മുമ്പ്,%lld दिवस आधी,%lld өдрийн өмнө,%lld दिनअघि,%lld dager i forveien,за %lld днів,%lld ଦିନ ପୂର୍ବରୁ,%lld كۈن بۇرۇن,%lld kun oldin,%lld روز زودتر,%lld dni wcześniej,%lld dias antes,%lld ਦਿਨ ਪਹਿਲਾਂ,cu %lld zile înainte,за %lld дней,%lld dana unapred,දින %lldකට පෙර,%lld dní vopred,%lld dni vnaprej,%lld días antes,siku %lld mapema,%lld நாட்கள் முன்பாக,%lld రోజులు ముందుగా,ล่วงหน้า %lld วัน,ཉིན་ %lld སྔོན,%lld dní předem,%lld gün önceden,%lld دن پہلے,Trước %lld ngày,%lld diwrnod ymlaen llaw,за %lld дзён,kusasele izinsuku ezingu-%lld,%lld dagar i förväg,app,%lld dagen vooraf,plural.other
"Meervoudsvorm 'one' (one=enkelvoud, other=meervoud). Gebruik de telregels van de doeltaal. Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 11 tekens (UI-ruimte).",%lld degree,%lld graad,%lld graad,%lld gradë,%lld ዲግሪ,%lld درجة,%lld աստիճան,%lld ডিগ্ৰী,%lld dərəcə,%lld gradu,%lld ডিগ্রি,%lld ဒီဂရီ,%lld stepen,%lld градус,%lld grau,%lld 度,%lld grad,%lld Grad,%lld kraad,%lld stig,%lld aste,%lld degré,%lld grao,%lld გრადუსი,%lld βαθμός,%lld ડિગ્રી,%lld מעלה,%lld डिग्री,%lld fok,%lld céim,%lld gráða,%lld derajat,%lld grado,%lld度,%lld ಡಿಗ್ರಿ,%lld градус,%lld ដឺក្រេ,%lld도,%lld stupanj,%lld ອົງສາ,%lld grāds,%lld laipsnis,%lld степен,%lld darjah,%lld ഡിഗ്രി,%lld अंश,%lld хэм,%lld डिग्री,%lld grad,%lld градус,%lld ଡିଗ୍ରୀ,%lld گرادۇس,%lld daraja,%lld درجه,%lld stopień,%lld grau,%lld ਡਿਗਰੀ,%lld grad,%lld градус,%lld stepen,අංශක %lld,%lld stupeň,%lld stopinja,%lld grado,digrii %lld,%lld டிகிரி,%lld డిగ్రీ,%lld องศา,ཚད་ %lld,%lld stupeň,%lld derece,%lld ڈگری,%lld độ,%lld gradd,%lld градус,idigri elingu-%lld,%lld grad,app,%lld graden,plural.one
"Meervoudsvorm 'other' (one=enkelvoud, other=meervoud). Gebruik de telregels van de doeltaal. Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 12 tekens (UI-ruimte).",%lld degrees,%lld graden,%lld grade,%lld gradë,%lld ዲግሪዎች,%lld درجات,%lld աստիճան,%lld ডিগ্ৰী,%lld dərəcə,%lld gradu,%lld ডিগ্রি,%lld ဒီဂရီ,%lld stepeni,%lld градуса,%lld graus,%lld 度,%lld grader,%lld Grad,%lld kraadi,%lld stig,%lld astetta,%lld degrés,%lld graos,%lld გრადუსი,%lld βαθμοί,%lld ડિગ્રી,%lld מעלות,%lld डिग्री,%lld fok,%lld céim,%lld gráður,%lld derajat,%lld gradi,%lld度,%lld ಡಿಗ್ರಿಗಳು,%lld градус,%lld ដឺក្រេ,%lld도,%lld stupnjeva,%lld ອົງສາ,%lld grādi,%lld laipsnių,%lld степени,%lld darjah,%lld ഡിഗ്രി,%lld अंश,%lld хэм,%lld डिग्री,%lld grader,%lld градусів,%lld ଡିଗ୍ରୀ,%lld گرادۇس,%lld daraja,%lld درجه,%lld stopni,%lld graus,%lld ਡਿਗਰੀਆਂ,%lld grade,%lld градусов,%lld stepeni,අංශක %lld,%lld stupňov,%lld stopinj,%lld grados,digrii %lld,%lld டிகிரி,%lld డిగ్రీలు,%lld องศา,ཚད་ %lld,%lld stupňů,%lld derece,%lld ڈگری,%lld độ,%lld gradd,%lld градусаў,amadigri angu-%lld,%lld grader,app,%lld graden,plural.other
"Meervoudsvorm 'one' (one=enkelvoud, other=meervoud). Gebruik de telregels van de doeltaal. Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 22 tekens (UI-ruimte).","%lld degree, check off","%lld graad, afvinken","%lld graad, merk af","%lld gradë, shënoje",%lld ዲግሪ፣ ምልክት አድርግ,%lld درجة، تحديد كمكتمل,"%lld աստիճան, նշել","%lld ডিগ্ৰী, টিক কৰক","%lld dərəcə, tamamla","%lld gradu, markatu","%lld ডিগ্রি, টিক দিন",%lld ဒီဂရီ၊ အမှန်ခြစ်ရန်,"%lld stepen, označi","%lld градус, отметни","%lld grau, marca",%lld 度，勾选,"%lld grad, afkryds","%lld Grad, abhaken","%lld kraad, märgi tehtuks","%lld stig, krossa av","%lld aste, merkitse tehdyksi","%lld degré, cocher","%lld grao, marcar","%lld გრადუსი, მონიშვნა","%lld βαθμός, ολοκλήρωση","%lld ડિગ્રી, પૂર્ણ કરો","%lld מעלה, סימון","%lld डिग्री, पूरा करें","%lld fok, kipipálás","%lld céim, cuir tic leis","%lld gráða, haka við","%lld derajat, centang","%lld grado, spunta",%lld度、完了,"%lld ಡಿಗ್ರಿ, ಗುರುತು ಹಾಕಿ","%lld градус, белгілеу","%lld ដឺក្រេ, ធីក","%lld도, 완료 처리","%lld stupanj, označi","%lld ອົງສາ, ໝາຍສຳເລັດ","%lld grāds, atzīmēt","%lld laipsnis, pažymėti","%lld степен, штиклирај","%lld darjah, tandakan","%lld ഡിഗ്രി, പൂർത്തിയാക്കുക","%lld अंश, पूर्ण करा","%lld хэм, тэмдэглэх","%lld डिग्री, पूरा गर्नुहोस्","%lld grad, kryss av","%lld градус, позначити","%lld ଡିଗ୍ରୀ, ଟିକ୍ କରନ୍ତୁ",%lld گرادۇس، تاماملاش,"%lld daraja, belgilash",%lld درجه، علامت‌زدن,"%lld stopień, odznacz","%lld grau, concluir","%lld ਡਿਗਰੀ, ਨਿਸ਼ਾਨ ਲਾਓ","%lld grad, bifează","%lld градус, отметить","%lld stepen, označi","අංශක %lld, සලකුණු කරන්න","%lld stupeň, zaškrtnúť","%lld stopinja, odkljukaj","%lld grado, marcar","digrii %lld, weka tiki","%lld டிகிரி, முடித்ததாகக் குறி","%lld డిగ్రీ, టిక్ చేయండి","%lld องศา, ทำเครื่องหมาย","ཚད་ %lld, མཇུག་རྟགས་རྒྱོབ","%lld stupeň, odškrtnout","%lld derece, işaretle",%lld ڈگری، نشان لگائیں,"%lld độ, đánh dấu","%lld gradd, ticio","%lld градус, адзначыць","idigri elingu-%lld, maka","%lld grad, bocka av",app,"%lld graden, afvinken",plural.one
"Meervoudsvorm 'other' (one=enkelvoud, other=meervoud). Gebruik de telregels van de doeltaal. Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 23 tekens (UI-ruimte).","%lld degrees, check off","%lld graden, afvinken","%lld grade, merk af","%lld gradë, shënoji",%lld ዲግሪዎች፣ ምልክት አድርግ,%lld درجات، تحديد كمكتمل,"%lld աստիճան, նշել","%lld ডিগ্ৰী, টিক কৰক","%lld dərəcə, tamamla","%lld gradu, markatu","%lld ডিগ্রি, টিক দিন",%lld ဒီဂရီ၊ အမှန်ခြစ်ရန်,"%lld stepeni, označi","%lld градуса, отметни","%lld graus, marca",%lld 度，勾选,"%lld grader, afkryds","%lld Grad, abhaken","%lld kraadi, märgi tehtuks","%lld stig, krossa av","%lld astetta, merkitse tehdyksi","%lld degrés, cocher","%lld graos, marcar","%lld გრადუსი, მონიშვნა","%lld βαθμοί, ολοκλήρωση","%lld ડિગ્રી, પૂર્ણ કરો","%lld מעלות, סימון","%lld डिग्री, पूरा करें","%lld fok, kipipálás","%lld céim, cuir tic leis","%lld gráður, haka við","%lld derajat, centang","%lld gradi, spunta",%lld度、完了,"%lld ಡಿಗ್ರಿಗಳು, ಗುರುತು ಹಾಕಿ","%lld градус, белгілеу","%lld ដឺក្រេ, ធីក","%lld도, 완료 처리","%lld stupnjeva, označi","%lld ອົງສາ, ໝາຍສຳເລັດ","%lld grādi, atzīmēt","%lld laipsnių, pažymėti","%lld степени, штиклирај","%lld darjah, tandakan","%lld ഡിഗ്രി, പൂർത്തിയാക്കുക","%lld अंश, पूर्ण करा","%lld хэм, тэмдэглэх","%lld डिग्री, पूरा गर्नुहोस्","%lld grader, kryss av","%lld градусів, позначити","%lld ଡିଗ୍ରୀ, ଟିକ୍ କରନ୍ତୁ",%lld گرادۇس، تاماملاش,"%lld daraja, belgilash",%lld درجه، علامت‌زدن,"%lld stopni, odznacz","%lld graus, concluir","%lld ਡਿਗਰੀਆਂ, ਨਿਸ਼ਾਨ ਲਾਓ","%lld grade, bifează","%lld градусов, отметить","%lld stepeni, označi","අංශක %lld, සලකුණු කරන්න","%lld stupňov, zaškrtnúť","%lld stopinj, odkljukaj","%lld grados, marcar","digrii %lld, weka tiki","%lld டிகிரி, முடித்ததாகக் குறி","%lld డిగ్రీలు, టిక్ చేయండి","%lld องศา, ทำเครื่องหมาย","ཚད་ %lld, མཇུག་རྟགས་རྒྱོབ","%lld stupňů, odškrtnout","%lld derece, işaretle",%lld ڈگری، نشان لگائیں,"%lld độ, đánh dấu","%lld gradd, ticio","%lld градусаў, адзначыць","amadigri angu-%lld, maka","%lld grader, bocka av",app,"%lld graden, afvinken",plural.other
